path,.,_id,imageUrl,brush,annotation.0.regionType,annotation.0.id,annotation.0.centerX,annotation.0.centerY,annotation.0.width,annotation.0.height,annotation.0.classification,annotation.0.labels,annotation.0.color
interface,"{""type"":""image_segmentation"",""labels"":[{""id"":""ChildrenCrossing"",""description"":""ChildrenCrossing""},{""id"":""Other"",""description"":""Other""}],""regionTypesAllowed"":[""bounding-box"",""polygon"",""point""]}",,,,,,,,,,,,
samples.0,,shjrdvpw8,file://D:\Documents\UofT\Deep learning\Project\APS360_Traffic_Sign_Recognition\To push\AugData\ChildrenCrossing\img1186.png,complete,bounding-box,9846240984083561,0.3695987654320988,0.7385802445588288,0.18055555555555552,0.2716049382716049,ChildrenCrossing,,#f44336
samples.1,,sg6l5mzzh,file://D:\Documents\UofT\Deep learning\Project\APS360_Traffic_Sign_Recognition\To push\AugData\ChildrenCrossing\img1187.png,complete,bounding-box,02024211440583379,0.31790123456790126,0.4901234544353721,0.24382716049382716,0.23148148148148145,ChildrenCrossing,,#f44336
samples.2,,sxqjylv1i,file://D:\Documents\UofT\Deep learning\Project\APS360_Traffic_Sign_Recognition\To push\AugData\ChildrenCrossing\img1188.png,complete,bounding-box,39220859243444206,0.41435185185185186,0.6182098741884585,0.22376543209876543,0.2808641975308642,ChildrenCrossing,,#f44336
samples.3,,sv1ckjwle,file://D:\Documents\UofT\Deep learning\Project\APS360_Traffic_Sign_Recognition\To push\AugData\ChildrenCrossing\img1189.png,complete,bounding-box,4960080752497773,0.4537037037037037,0.261728392706977,0.25617283950617287,0.3179012345679012,ChildrenCrossing,,#f44336
samples.4,,sei1793rm,file://D:\Documents\UofT\Deep learning\Project\APS360_Traffic_Sign_Recognition\To push\AugData\ChildrenCrossing\img1190.png,complete,bounding-box,7813766666085993,0.5679012345679013,0.5364197507316684,0.22530864197530864,0.23148148148148145,ChildrenCrossing,,#f44336
samples.5,,smksbwxup,file://D:\Documents\UofT\Deep learning\Project\APS360_Traffic_Sign_Recognition\To push\AugData\ChildrenCrossing\img1191.png,complete,bounding-box,7704593148599432,0.7546296296296295,0.4484567877687054,0.2716049382716049,0.28395061728395066,ChildrenCrossing,,#f44336
samples.6,,slg36huon,file://D:\Documents\UofT\Deep learning\Project\APS360_Traffic_Sign_Recognition\To push\AugData\ChildrenCrossing\img1192.png,complete,bounding-box,664143382596422,0.7083333333333333,0.6012345655464831,0.21913580246913578,0.24999999999999994,ChildrenCrossing,,#f44336
samples.7,,shj6izr7n,file://D:\Documents\UofT\Deep learning\Project\APS360_Traffic_Sign_Recognition\To push\AugData\ChildrenCrossing\img1193.png,complete,bounding-box,9428507677334346,0.16280864197530864,0.6737654297440141,0.2762345679012346,0.33950617283950624,ChildrenCrossing,,#f44336
samples.8,,sx4owpwlj,file://D:\Documents\UofT\Deep learning\Project\APS360_Traffic_Sign_Recognition\To push\AugData\ChildrenCrossing\img1194.png,complete,bounding-box,021290909328573804,0.5108024691358024,0.3442901211020387,0.22530864197530864,0.279320987654321,ChildrenCrossing,,#f44336
