path,.,_id,imageUrl,brush,annotation,annotation.0.regionType,annotation.0.id,annotation.0.centerX,annotation.0.centerY,annotation.0.width,annotation.0.height,annotation.0.classification,annotation.0.labels,annotation.0.color,annotation.0.points.0.x,annotation.0.points.0.y,annotation.0.points.1.x,annotation.0.points.1.y,annotation.0.points.2.x,annotation.0.points.2.y,annotation.0.points.3.x,annotation.0.points.3.y
interface,"{""type"":""image_segmentation"",""labels"":[{""id"":""noRight"",""description"":""noRight""},{""id"":"""",""description"":""""}],""regionTypesAllowed"":[""bounding-box"",""polygon"",""point""]}",,,,,,,,,,,,,,,,,,,,,
samples.0,,svtvz7dtk,file:///Users/stephaniewong/Desktop/NoRight/img1358.png,complete,,bounding-box,3957926051090479,0.24614395886889462,0.38367609254498714,0.18637532133676094,0.19151670951156813,noRight,,#f44336,,,,,,,,
samples.1,,su0k777m4,file:///Users/stephaniewong/Desktop/NoRight/img1359.png,complete,,bounding-box,43624911856838633,0.6773778920308483,0.19987146529562982,0.0951156812339331,0.10925449871465298,noRight,,#f44336,,,,,,,,
samples.2,,s6bjxyx0o,file:///Users/stephaniewong/Desktop/NoRight/img1360.png,complete,,polygon,7062460540101971,,,,,noRight,,#f44336,0.6439588688946015,0.6118251928020566,0.8688946015424165,0.5642673521850899,0.9357326478149101,0.8881748071979434,0.7043701799485861,0.9331619537275064
samples.3,,slcttf7w1,file:///Users/stephaniewong/Desktop/NoRight/img1361.png,complete,,polygon,22273531240947997,,,,,noRight,,#f44336,0.6876606683804627,0.34832904884318766,0.7969151670951157,0.35475578406169667,0.7634961439588689,0.6439588688946015,0.6568123393316195,0.6426735218508998
samples.4,,sdwfggob6,file:///Users/stephaniewong/Desktop/NoRight/img1362.png,complete,,bounding-box,13096705515227147,0.32005141388174807,0.3688946015424165,0.1773778920308483,0.17480719794344474,noRight,,#f44336,,,,,,,,
samples.5,,svazctlfa,file:///Users/stephaniewong/Desktop/NoRight/img1363.png,complete,,polygon,7786206860488627,,,,,noRight,,#f44336,0.3560411311053985,0.061696658097686374,0.4473007712082262,0.061696658097686374,0.37017994858611825,0.2879177377892031,0.2686375321336761,0.29048843187660667
samples.6,,sq7va8xza,file:///Users/stephaniewong/Desktop/NoRight/img1364.png,complete,,polygon,4901910396019806,,,,,noRight,,#f44336,0.36503856041131105,0.40359897172236503,0.48586118251928023,0.35475578406169667,0.5218508997429306,0.4704370179948586,0.39974293059125965,0.5115681233933161
samples.7,,s7m4r1fg8,file:///Users/stephaniewong/Desktop/NoRight/img1365.png,complete,,bounding-box,5518218351562807,0.5764781491002571,0.2069408740359897,0.0989717223650386,0.12596401028277635,noRight,,#f44336,,,,,,,,
samples.8,,s1ifgv05i,file:///Users/stephaniewong/Desktop/NoRight/img1366.png,complete,,polygon,056117951891240025,,,,,noRight,,#f44336,0.4138817480719794,0.4665809768637532,0.5282776349614395,0.4717223650385604,0.5154241645244216,0.6336760925449871,0.40616966580976865,0.6143958868894601
samples.9,,spjxwppie,file:///Users/stephaniewong/Desktop/NoRight/img1367.png,complete,,bounding-box,9386341834550627,0.8978149100257069,0.3875321336760925,0.0526992287917738,0.08097686375321339,noRight,,#f44336,,,,,,,,
samples.10,,sajxy3cf5,file:///Users/stephaniewong/Desktop/NoRight/img1368.png,complete,,polygon,20388395352792843,,,,,noRight,,#f44336,0.493573264781491,0.5282776349614395,0.602827763496144,0.5449871465295629,0.5822622107969152,0.6863753213367609,0.4691516709511568,0.6658097686375322
samples.11,,s17epovc6,file:///Users/stephaniewong/Desktop/NoRight/img1369.png,complete,,polygon,7248976812165964,,,,,noRight,,#f44336,0.20051413881748073,0.2416452442159383,0.35218508997429304,0.19922879177377892,0.40102827763496146,0.34318766066838047,0.2544987146529563,0.390745501285347
samples.12,,sc843hs9j,file:///Users/stephaniewong/Desktop/NoRight/img1370.png,complete,,bounding-box,7397926352382982,0.2088688946015424,0.6780205655526992,0.2069408740359897,0.1940874035989718,noRight,,#f44336,,,,,,,,
samples.13,,se6lb85ua,file:///Users/stephaniewong/Desktop/NoRight/img1371.png,complete,,bounding-box,005360161637273597,0.6053984575835476,0.4948586118251928,0.13624678663239076,0.12339331619537275,noRight,,#f44336,,,,,,,,
samples.14,,s7r69dili,file:///Users/stephaniewong/Desktop/NoRight/img1372.png,complete,,polygon,11046049784339185,,,,,noRight,,#f44336,0.35475578406169667,0.33033419023136246,0.4473007712082262,0.2866323907455013,0.5025706940874036,0.42930591259640105,0.40359897172236503,0.46786632390745503
samples.15,,sg2el2fs4,file:///Users/stephaniewong/Desktop/NoRight/img1373.png,complete,,bounding-box,13580051431710682,0.6413881748071979,0.602827763496144,0.12082262210796924,0.12596401028277637,noRight,,#f44336,,,,,,,,
samples.16,,sue3jcy3w,file:///Users/stephaniewong/Desktop/NoRight/img1374.png,complete,,bounding-box,9306454686848835,0.4042416452442159,0.4087403598971722,0.08097686375321339,0.11311053984575836,noRight,,#f44336,,,,,,,,
samples.17,,seakxwnac,file:///Users/stephaniewong/Desktop/NoRight/img1375.png,complete,,bounding-box,23902736391373858,0.7088688946015425,0.31105398457583544,0.14010282776349614,0.1593830334190231,noRight,,#f44336,,,,,,,,
samples.18,,snst55t33,file:///Users/stephaniewong/Desktop/NoRight/img1376.png,complete,,bounding-box,9570376478028835,0.32519280205655526,0.40488431876606684,0.07712082262210795,0.12082262210796912,noRight,,#f44336,,,,,,,,
samples.19,,so9nsmg5j,file:///Users/stephaniewong/Desktop/NoRight/img1377.png,complete,,bounding-box,12417361428062534,0.3322622107969152,0.45886889460154245,0.13496143958868895,0.12853470437017994,noRight,,#f44336,,,,,,,,
samples.20,,s27vg0v5q,file:///Users/stephaniewong/Desktop/NoRight/img1378.png,complete,,bounding-box,8983839916318075,0.32840616966580977,0.537917737789203,0.12982005141388175,0.15038560411311053,noRight,,#f44336,,,,,,,,
samples.21,,s1wwoxf0a,file:///Users/stephaniewong/Desktop/NoRight/img1379.png,complete,,bounding-box,31147017553251577,0.7230077120822622,0.5944730077120823,0.1709511568123394,0.14267352185089976,noRight,,#f44336,,,,,,,,
samples.22,,sbxj364g9,file:///Users/stephaniewong/Desktop/NoRight/img1380.png,complete,,bounding-box,14348305970276343,0.2892030848329049,0.3476863753213367,0.09768637532133678,0.19151670951156813,noRight,,#f44336,,,,,,,,
samples.23,,sagskvi96,file:///Users/stephaniewong/Desktop/NoRight/img1381.png,complete,,bounding-box,8429889441088734,0.6413881748071979,0.7609254498714653,0.13881748071979427,0.17994858611825193,noRight,,#f44336,,,,,,,,
samples.24,,s31nr2hg2,file:///Users/stephaniewong/Desktop/NoRight/img1382.png,complete,,bounding-box,24230138307802673,0.2088688946015424,0.493573264781491,0.2069408740359897,0.3393316195372751,noRight,,#f44336,,,,,,,,
samples.25,,swaktit1n,file:///Users/stephaniewong/Desktop/NoRight/img1383.png,complete,,bounding-box,44114192015546383,0.5430591259640103,0.4961439588688946,0.11439588688946012,0.10025706940874035,noRight,,#f44336,,,,,,,,
samples.26,,sgi3j69mc,file:///Users/stephaniewong/Desktop/NoRight/img1384.png,complete,,bounding-box,5262108880368406,0.31748071979434445,0.3155526992287918,0.15167095115681234,0.21465295629820053,noRight,,#f44336,,,,,,,,
samples.27,,ssdo3g33j,file:///Users/stephaniewong/Desktop/NoRight/img1385.png,complete,,bounding-box,15567156520438186,0.4087403598971723,0.39910025706940877,0.11825192802056556,0.1169665809768638,noRight,,#f44336,,,,,,,,
samples.28,,soia8ca26,file:///Users/stephaniewong/Desktop/NoRight/img1386.png,complete,,bounding-box,09687228574088902,0.3194087403598972,0.3811053984575835,0.11696658097686374,0.12210796915167094,noRight,,#f44336,,,,,,,,
samples.29,,sp4dz3nwr,file:///Users/stephaniewong/Desktop/NoRight/img1387.png,complete,,bounding-box,17798099975862725,0.7622107969151671,0.6253213367609254,0.17994858611825193,0.1580976863753213,noRight,,#f44336,,,,,,,,
samples.30,,sgpr1s956,file:///Users/stephaniewong/Desktop/NoRight/img1388.png,complete,,bounding-box,49894806262944624,0.35668380462724936,0.4434447300771208,0.15295629820051415,0.25192802056555275,noRight,,#f44336,,,,,,,,
samples.31,,shxtk902b,file:///Users/stephaniewong/Desktop/NoRight/img1389.png,complete,,bounding-box,20770923108964423,0.33740359897172234,0.5758354755784061,0.15809768637532134,0.1645244215938303,noRight,,#f44336,,,,,,,,
samples.32,,s0p1f469p,file:///Users/stephaniewong/Desktop/NoRight/img1390.png,complete,,bounding-box,9567949887291263,0.4434447300771208,0.4762210796915167,0.13367609254498714,0.14781491002570696,noRight,,#f44336,,,,,,,,
samples.33,,sbipej8r6,file:///Users/stephaniewong/Desktop/NoRight/img1391.png,complete,,bounding-box,12821960778481323,0.46850899742930596,0.666452442159383,0.13496143958868895,0.14010282776349614,noRight,,#f44336,,,,,,,,
samples.34,,scctebz0i,file:///Users/stephaniewong/Desktop/NoRight/img1392.png,complete,,bounding-box,7635565680324243,0.2075835475578406,0.2320051413881748,0.18637532133676088,0.17609254498714652,noRight,,#f44336,,,,,,,,
samples.35,,sz23bq8xg,file:///Users/stephaniewong/Desktop/NoRight/img1393.png,complete,,bounding-box,5469048377001051,0.6201799485861182,0.25449871465295626,0.18380462724935742,0.1825192802056555,noRight,,#f44336,,,,,,,,
samples.36,,sey1gwpre,file:///Users/stephaniewong/Desktop/NoRight/img1394.png,complete,,bounding-box,427162979186579,0.5295629820051414,0.5764781491002571,0.1696658097686375,0.16323907455012848,noRight,,#f44336,,,,,,,,
samples.37,,s3bw6x887,file:///Users/stephaniewong/Desktop/NoRight/img1395.png,complete,,bounding-box,9089453843892303,0.6638817480719794,0.3296915167095116,0.16323907455012854,0.15552699228791772,noRight,,#f44336,,,,,,,,
samples.38,,sj1rpu5u7,file:///Users/stephaniewong/Desktop/NoRight/img1396.png,complete,,bounding-box,7186051541098528,0.5867609254498716,0.6529562982005142,0.16323907455012854,0.1773778920308483,noRight,,#f44336,,,,,,,,
samples.39,,sbqilvi5r,file:///Users/stephaniewong/Desktop/NoRight/img1397.png,complete,,bounding-box,6054487075519397,0.7262210796915167,0.5347043701799485,0.17994858611825193,0.16966580976863754,noRight,,#f44336,,,,,,,,
samples.40,,s1ylcghaj,file:///Users/stephaniewong/Desktop/NoRight/img1398.png,complete,,bounding-box,6555768983403272,0.2217223650385604,0.40681233933161953,0.2300771208226221,0.20437017994858614,noRight,,#f44336,,,,,,,,
samples.41,,s8pwy7ymm,file:///Users/stephaniewong/Desktop/NoRight/img1399.png,complete,,bounding-box,9200752567511759,0.2609254498714653,0.7782776349614395,0.21336760925449874,0.20951156812339333,noRight,,#f44336,,,,,,,,
samples.42,,szgvzp7c9,file:///Users/stephaniewong/Desktop/NoRight/img1400.png,complete,,bounding-box,4398137013733405,0.3380462724935733,0.45886889460154245,0.18766066838046272,0.14910025706940871,noRight,,#f44336,,,,,,,,
samples.43,,skt7q5rqk,file:///Users/stephaniewong/Desktop/NoRight/img1401.png,complete,,bounding-box,0739397262816115,0.6073264781491002,0.35732647814910024,0.1452442159383034,0.11825192802056556,noRight,,#f44336,,,,,,,,
samples.44,,sx2p8njse,file:///Users/stephaniewong/Desktop/NoRight/img1402.png,complete,,bounding-box,1182054993891446,0.493573264781491,0.7532133676092545,0.17480719794344468,0.20822622107969146,noRight,,#f44336,,,,,,,,
samples.45,,s9nz5j0lk,file:///Users/stephaniewong/Desktop/NoRight/img1403.png,complete,,bounding-box,14910767281088044,0.39974293059125965,0.6304627249357326,0.16709511568123392,0.16838046272493568,noRight,,#f44336,,,,,,,,
samples.46,,smsstliyd,file:///Users/stephaniewong/Desktop/NoRight/img1404.png,complete,,bounding-box,9164080892821724,0.34832904884318766,0.34061696658097684,0.22879177377892032,0.26221079691516713,noRight,,#f44336,,,,,,,,
samples.47,,spri4mual,file:///Users/stephaniewong/Desktop/NoRight/img1405.png,complete,,bounding-box,6887895903983072,0.5231362467866324,0.37339331619537275,0.14395886889460158,0.1838046272493573,noRight,,#f44336,,,,,,,,
samples.48,,sdnxblg2r,file:///Users/stephaniewong/Desktop/NoRight/img1406.png,complete,,bounding-box,7819955620938184,0.7024421593830334,0.5687660668380463,0.21208226221079696,0.1838046272493573,noRight,,#f44336,,,,,,,,
samples.49,,s7qf54ma3,file:///Users/stephaniewong/Desktop/NoRight/img1407.png,complete,,bounding-box,9673230241232471,0.43573264781491,0.6677377892030849,0.2236503856041131,0.28406169665809766,noRight,,#f44336,,,,,,,,
samples.50,,sh9lo34eo,file:///Users/stephaniewong/Desktop/NoRight/img1408.png,complete,,bounding-box,1946752256492399,0.5302056555269923,0.34897172236503854,0.1812339331619537,0.2429305912596401,noRight,,#f44336,,,,,,,,
samples.51,,snmol762q,file:///Users/stephaniewong/Desktop/NoRight/img1871.png,complete,,bounding-box,05078280695872639,0.2455012853470437,0.3740359897172236,0.17737789203084836,0.16709511568123397,noRight,,#f44336,,,,,,,,
samples.52,,srx26vugy,file:///Users/stephaniewong/Desktop/NoRight/img1872.png,complete,,bounding-box,13309010491515538,0.6863753213367609,0.2030848329048843,0.09768637532133684,0.10539845758354754,noRight,,#f44336,,,,,,,,
samples.53,,s84le500n,file:///Users/stephaniewong/Desktop/NoRight/img1873.png,complete,,bounding-box,6896135645086399,0.6735218508997429,0.7975578406169666,0.21850899742930596,0.22750642673521848,noRight,,#f44336,,,,,,,,
samples.54,,sog3msggy,file:///Users/stephaniewong/Desktop/NoRight/img1874.png,complete,,bounding-box,04502694628777615,0.7320051413881747,0.5006426735218509,0.12982005141388175,0.23521850899742924,noRight,,#f44336,,,,,,,,
samples.55,,sfus6aw8p,file:///Users/stephaniewong/Desktop/NoRight/img1875.png,complete,,bounding-box,6985754103312856,0.3059125964010283,0.39203084832904883,0.16452442159383035,0.16966580976863754,noRight,,#f44336,,,,,,,,
samples.56,,syrj5oikb,file:///Users/stephaniewong/Desktop/NoRight/img1876.png,complete,,bounding-box,5377659203245233,0.21593830334190228,0.2776349614395887,0.13624678663239073,0.19023136246786634,noRight,,#f44336,,,,,,,,
samples.57,,sjibqug7e,file:///Users/stephaniewong/Desktop/NoRight/img1877.png,complete,,bounding-box,6813918713893758,0.46722365038560415,0.41580976863753216,0.10925449871465298,0.10154241645244216,noRight,,#f44336,,,,,,,,
samples.58,,srrzx9uwg,file:///Users/stephaniewong/Desktop/NoRight/img1879.png,complete,,bounding-box,06500924281034015,0.48521850899742935,0.5584832904884318,0.11439588688946017,0.14267352185089976,noRight,,#f44336,,,,,,,,
samples.59,,szlovt1or,file:///Users/stephaniewong/Desktop/NoRight/img1880.png,complete,,bounding-box,8360470826768369,0.8946015424164524,0.39588688946015427,0.059125964010282694,0.08226221079691515,noRight,,#f44336,,,,,,,,
samples.60,,sw4dz28r5,file:///Users/stephaniewong/Desktop/NoRight/img1881.png,complete,,bounding-box,7802080308859778,0.5636246786632391,0.5951156812339331,0.11439588688946012,0.11568123393316199,noRight,,#f44336,,,,,,,,
samples.61,,s84km314z,file:///Users/stephaniewong/Desktop/NoRight/img1882.png,complete,,bounding-box,9995012894983275,0.4106683804627249,0.2300771208226221,0.16323907455012854,0.15938303341902316,noRight,,#f44336,,,,,,,,
samples.62,,s9pr3ojb8,file:///Users/stephaniewong/Desktop/NoRight/img1883.png,complete,,bounding-box,5450498229448999,0.18508997429305912,0.6227506426735219,0.20308483290488433,0.20437017994858608,noRight,,#f44336,,,,,,,,
samples.63,,sgp1erm94,file:///Users/stephaniewong/Desktop/NoRight/img1884.png,complete,,bounding-box,32112895623529036,0.6015424164524421,0.5032133676092545,0.13367609254498725,0.11439588688946012,noRight,,#f44336,,,,,,,,
samples.64,,spadiu72e,file:///Users/stephaniewong/Desktop/NoRight/img1885.png,complete,,bounding-box,7641273320483049,0.43573264781491,0.3643958868894601,0.12339331619537275,0.12467866323907456,noRight,,#f44336,,,,,,,,
samples.65,,soqf4vvn7,file:///Users/stephaniewong/Desktop/NoRight/img1886.png,complete,,bounding-box,2140016956058053,0.6613110539845758,0.5726221079691516,0.11953727506426737,0.12210796915167099,noRight,,#f44336,,,,,,,,
samples.66,,sk64uftna,file:///Users/stephaniewong/Desktop/NoRight/img1887.png,complete,,bounding-box,5320911906968777,0.3823907455012854,0.43637532133676094,0.08611825192802053,0.10925449871465298,noRight,,#f44336,,,,,,,,
